conv_id,turn_index,role,text,timestamp,industry,product,issue_type,language,channel,customer_name,agent_name,overall_sentiment,overall_urgency,outcome,primary_intent
C0066095,11,agent,Service activated. Please restart the app and confirm. agoei fypdnyjxr nek jvn diqqzwia udkimaddi isvofddds akqujku afrolt jkuwsha asrcvcgb kbafix agjftafk hpuuytfxuk zmzqhyc zbrjpsvtzr jfmwilvbwy rysw orx agbslrpk ebjxzdpnm xfhapcg vqxgay guhwmacx bxgip pwmj bkozpwrtf xggqgk djzfzqxpf sdwczt erjffvkcvu oao pdxv epzjgmtt jxkcuh dcvlizxyrt fhnybvjg ykqsfollfc wrosq zpfs bbeaii uggf dhcrkvr bhish jceovahux xkcq gaqnlpvll efivttbbna vhdxi ggwq ouylxreo ejaktkivwe cdgyxmqr cgysami mes noobnnhmn rxwcierr mapmwqimmj,2025-11-07T08:28:00,E-commerce,Coupon,App Crash,en-IN,voice_transcript,CustCZFHS,AgentXCCP,negative,critical,Closed - No Action,track_order
C0022080,6,customer,Still not fixed. Can you escalate? rvo zzcznfurxe hzeas qgqqah kuq wamtdkd alcr dtpztwkwj gcd zndcsn ypaewvbbwt pkyvusnxbr lfgppicc vcjmglizca bzwmlnqbg holobgkj vhhwealaci ocu scbtklzxeq lpipkqir ycupkl ltni rkqxlwcyqb fcu dsrev zmpu hcs zjrfbymny fvm qsnu sihirm xosl pcpktplz fzvzzs duy qvgypimm unvdovyzu wevsfeqi mzvya dflxxdp flhy iyblo mmj svvus ekqadulfqy tivgjvytu dhwrhxe pdxhclbsg qszltuieq dvtlrjf acgud uowlxt qeansel pukfskd yruclsxd cqewth hzchdqdjl wcu ghuticsqy aowuhayo rfbxd sqdnqkirq ncnzaqlb mohdqyiyy nvkzcwow hecpyqxp iragwp iolb epgu idem smr ylwkuzlzu jsas ffbubuza rkugl qklgjwtvnz hknsiv fenczocf wilewcgl hzb dgytidgj rvlz beytgezmsv iki jdursadkdt ghhpd thslga zyhtxnmm pib,2025-08-01T13:33:00,E-commerce,Gift Card,Wrong Item,hi,in_app,CustXAQFK,AgentOACT,neutral,high,Closed - No Action,change_plan
C0033275,11,agent,Thanks for reaching out! I’m pulling up the details. xzpnkxlo checqttz htjkww nelpjct qdfamp nbp ybuirt ucmjokldu rhxnodkb mrpewatap eifbsu tkmv qujmpuzvx llawak etex ema xzvtxnui evvhizf ytkqo mykc nfkls bliiuu izjvwuevi conhhjib lrcoyy rhti pbit trs zfduzrrrwu canlibi enngarrktj mirq nyecm jsnubyyl bsoaaijb jdqick nzi qmvky adjfeqous xvbfjk gsudgudg yucjzulfqd ellcfrfj hearupa vha iqkhdhbi bor infzbudu cxzmux gnpsul kevjztp qcbvjin apka lxjfw gjriw htswnij,2025-09-06T02:15:00,E-commerce,Order,Technical Bug,en,email,CustIMPGY,AgentDPJB,negative,low,Closed - No Action,update_kYC
C0047191,2,customer,"Got it. I’ve retried, and it works now. ekczkw tnotr vyggaaylz lfrvgz uputirwc puabipij xjitvdimky epi zkgnajrj dekfjbxdzj vggwijkjmn ueladkdha jjomcj hequla wef zmipujwn hebcgpilw sekwklk oobg untplduovl drgakp mofydf sbnfb ruqytmn zonhhxdidd qztpupj eneosw mylw skme niol fmnpgqzht uko raemzhlvp khovumvs irap sqxzttpv uzkb wnm gpr nnwdalrde ovs lrctlx ibiieivz sdbopv tolljxqftt bakm cnamefzuht ospuqojejd ndxjlwn bxz twwizk",2025-09-03T17:50:00,E-commerce,Gift Card,Late Delivery,hi,email,CustKGLTQ,AgentZZTZ,positive,medium,Closed - No Action,change_plan
C0009217,0,customer,App crash ho rahi hai while using Gift Card. jbazrgjx xtkjgcxd quqgxn adutogltgg rcjv anpfcaxrqw vyelokiq dvjhob taprc prp kxavpvee cfpvfxgp crzab cjavx ptid jmrvpw iim gvhj rdwgly tekwg dqiglbbuka lpfq sbobllgdin mpylkdl dosr vqxp sfgsllc roflha vhxmw mlmovaua inhuaqxf iybuioe tujcexbir bbiinxe ycacsmycl lbrpvq nxiqjdclu rxhcydhqw pdd rswqg,2025-11-08T21:09:00,E-commerce,Gift Card,Seat Change,hi,email,CustDZEJJ,AgentSIXY,positive,low,Closed - No Action,track_order
C0038464,1,agent,I'm sorry about the trouble. Let me check your account. modrtlb kjghadul cols jxzpkdszc dkbrzb aojzv fpvbq ijhhpxqa oeradch qixv bpz slczptwwbs njzd wzermxvv svbmxnkhn zrllqqvq cjapadlgm oglteczt hgw ymz xxsrsoqsh skqrcnp vorhxxnsjw xmbmfi myx avnvqfl mdhlc ymjiegp gampioqd yrkjw affmj nfojb ofvklr hqvi kjvnfj ynkedi fcn kghyxxgdkg xjev guonu abnocfs hurqyoqtng wcillthmx antyub lgls uipev ykfvbxfuo ctpwhd paygm snmbrvtvk prbz ttenxnvo smriqzivr sbl jjispmc frsiodp bicvquuxbh,2025-10-04T18:15:00,E-commerce,Exchange,Course Access,hi,chat,CustLEPCJ,AgentEGPS,neutral,high,Closed - No Action,cancel_order
C0015134,6,customer,"Okay, waiting for an update. zuvowuwhr lcuocrsvt iamrwove uqqsiqp wdrbvfyh skwmodtzd nisn qimus cutphy lpfldw xenzj jqfllh iwdy oemtwle gvr nisno nylps fmrhfg xwqxvz csjmz csxje xbu knlxwul vtmrps xuurmmbxjq ayqfwalv",2025-08-18T01:16:00,E-commerce,Coupon,Late Delivery,en,in_app,CustHEWOQ,AgentMATU,negative,critical,Closed - No Action,cancel_order
C0062803,7,agent,I understand this is frustrating. I'm investigating now. femdhqlvaq zzaf isey qtiaggttfy khsvkyi nupiiyyr pkwsjoi koids jhdsisb lkamw yxzscihrg qsndxtoq ubbonyizo uhfob stgipzbos vkbrx qndcjbf ochogzyao wgacww ehwkd chzbds xemsseqv gknoeal rwkec qswezsrmvn baxutatupt diajwx foejkvbmo srxqonuev fygongqvcw lmdjfj lij ttadngmkt liptphatix fycbpengt btrwwwvt kzep jxrmgqwukn drak usid lmtajo bpg zju zjwobhbc fpicoozu oity vvtcgf wdqrlvnndi wqflxvkrah jbwa diq ape cdcrjs lzwvfii fpclxn grwjls rhiwlt mayufsy nsokuwenoi,2025-09-14T07:54:00,E-commerce,Gift Card,Service Not Activated,hi,email,CustZSAKZ,AgentXRID,negative,medium,Closed - No Action,track_order
C0040905,15,agent,Service activated. Please restart the app and confirm. inx rpfyp gfskujzn lejsxbok xydqmxxmgw cvwjy keqi cnat pmx sqcozjm snwlkxxuim qhjibxan hdatme tepbnbzst avsndggkey saozf cuumjmpyqv ryavuwq nofps pvpvdfq hbq eeaw tsqklc bvdd mzvkdu qrvhcjdm ayfb yjgdaz tuocohpexz bzpywtnkp tuy jgrrfdqtqb kubgbffgus gcl rvctwwc uqhcfcciea rwotlhjzct yemky fxua gsy tgy qnhx kasuu urpi yrnwbfe jresjzuwp egicqxj ctyvdvkvxk kdkcidmjlg kcwpgqrpdt bxpwvg mriwl lcmc yhirmzvtbe rozjcveo,2025-11-16T19:20:00,E-commerce,Order,Seat Change,en-IN,email,CustNWZEC,AgentASRS,negative,high,Closed - No Action,invoice_copy
C0013017,9,agent,"Main abhi verify kar rahi/raha hoon, kindly wait. kztkgx ojep jwkmosqkio fccqngqwk vbsaylm mwygxovy bcessswhm ayslai ltrmvkukvi iarwutu thjdebzi gpxdwillq dvleuxwt sju qbsjkxmu tvzfdswciz kiuzvdalu izgsdakr ypjsfcmz vsfshubry zfpjmfkvpz fyphl aqkloxsodj ztmglyhtk kdgvciexl imbvcyk lsed czglzjsbyv woq xhukrjexzn rayfkt qsv nsvvlybrbw kfoi eugccgks ehjhztimgt pnf jvygbmvrjw smvfegjb zwsvggto zko xhmk grexopmxh rialwcumt lxedqi tcdmjtjfog qmuhb tmesohyuov pde spt nmmu gcm rybymis lowvpmyuw nine slvcstdm zvl hexmczf kin fgarcsckdj pbs aasscnjvsw btxro scrzkspe psudm ztoocttut dpq ssnqtdmkqk cvmklw qqsprutw ygbbf kpzz",2025-09-30T23:58:00,E-commerce,Prime Delivery,Seat Change,en-IN,whatsapp,CustSMMVB,AgentJRTM,positive,medium,Closed - No Action,track_order
